"Articulation","Vitesse","ICC","ConfidenceInterval","p_value","RMSE","LOA_lower","LOA_upper","Biais","CorrP"
"knee_flexion_r",60,0.693,"0.521 - 0.803",0,5.442,-11.4958,10.077,-0.7094,0.6852
"knee_flexion_r",80,0.922,"0.879 - 0.95",0,1.69,-3.0718,4.6464,0.7873,0.9072
"knee_flexion_r",100,0.846,"0.76 - 0.901",0,2.358,-4.1368,5.2426,0.5529,0.7569
"knee_flexion_l",60,0.806,"0.697 - 0.876",0,3.387,-5.8117,7.3533,0.7708,0.7372
"knee_flexion_l",80,0.746,"0.605 - 0.837",0,3.236,-5.9994,6.779,0.3898,0.5929
"knee_flexion_l",100,0.66,"0.47 - 0.782",0,3.597,-6.664,7.5348,0.4354,0.4989
"hip_flexion_r",60,0.81,"0.703 - 0.878",0,3.194,-6.644,6.0296,-0.3072,0.7688
"hip_flexion_r",80,0.953,"0.927 - 0.97",0,1.742,-3.6806,3.5804,-0.0501,0.9161
"hip_flexion_r",100,0.922,"0.879 - 0.95",0,2.184,-4.9168,4.1274,-0.3947,0.8731
"hip_flexion_l",60,0.859,"0.78 - 0.91",0,2.699,-4.522,5.9115,0.6947,0.784
"hip_flexion_l",80,0.881,"0.815 - 0.924",0,2.735,-4.7849,5.8991,0.5571,0.8157
"hip_flexion_l",100,0.877,"0.808 - 0.921",0,2.874,-5.4221,6.0369,0.3074,0.8027
"hip_adduction_r",60,0.831,"0.736 - 0.891",0,7.764,-14.5569,1.1509,-6.703,0.7971
"hip_adduction_r",80,0.847,"0.761 - 0.902",0,7.33,-13.9543,1.3698,-6.2922,0.8105
"hip_adduction_r",100,0.859,"0.78 - 0.91",0,6.038,-11.406,0.8251,-5.2904,0.871
"hip_adduction_l",60,0.849,"0.765 - 0.903",0,5.456,-11.0204,2.3139,-4.3533,0.7628
"hip_adduction_l",80,0.554,"0.305 - 0.714",0.00021,5.66,-11.6664,2.8852,-4.3906,0.487
"hip_adduction_l",100,0.654,"0.461 - 0.778",0,4.828,-9.9779,2.6278,-3.675,0.4893
"hip_rotation_r",60,0.812,"0.707 - 0.879",0,6.859,-14.4543,4.1554,-5.1494,0.7166
"hip_rotation_r",80,0.815,"0.712 - 0.882",0,7.618,-15.9275,3.9898,-5.9688,0.8557
"hip_rotation_r",100,0.759,"0.624 - 0.845",0,6.68,-14.3028,4.4413,-4.9307,0.6304
"hip_rotation_l",60,0.426,"0.106 - 0.632",0.00721,6.568,-14.6663,9.1789,-2.7437,0.2415
"hip_rotation_l",80,0.538,"0.279 - 0.704",0.00036,5.689,-12.7564,8.5499,-2.1033,0.3512
"hip_rotation_l",100,0.737,"0.59 - 0.831",0,5.78,-12.8944,9.488,-1.7032,0.6238
"ankle_flexion_r",60,0.972,"0.957 - 0.982",0,1.898,-3.1052,5.0066,0.9507,0.9643
"ankle_flexion_r",80,0.948,"0.919 - 0.967",0,2.59,-4.7081,5.9711,0.6315,0.9303
"ankle_flexion_r",100,0.937,"0.902 - 0.96",0,3.088,-5.1729,7.0878,0.9574,0.9045
"ankle_flexion_l",60,0.979,"0.968 - 0.987",0,1.215,-2.326,2.8302,0.2521,0.962
"ankle_flexion_l",80,0.976,"0.962 - 0.985",0,1.559,-3.1832,3.8313,0.324,0.9608
"ankle_flexion_l",100,0.975,"0.962 - 0.984",0,2.038,-3.7986,4.7238,0.4626,0.956
